COMPANYID;CEQID;CANID;DATA;DT_INTEGRACAO;LAT;LON;ALT;DIRECTION;SPEED;FAMILYCODE;FUNCTION;ERRORTAGS;TYPE;TEXT;UNIFIEDVALUE;UOM;VALUE
ACC000028047;CEQ000439555;7411;24/09/2023 14:21:00;24/09/2023 17:49:30;-22.63601;-50.08004;563.15;0;;BC_HYD_PRESS;last;;Numeric;;3005;KPA;3005
ACC000028047;CEQ000439555;7411;22/09/2023 09:25:44;22/09/2023 12:33:01;-22.639235;-50.092022;534.01;0;;BC_HYD_PRESS;last;;Numeric;;385;KPA;385
ACC000028047;CEQ000439555;7411;24/09/2023 07:16:58;24/09/2023 10:26:12;-22.636898;-50.083664;556.05;23.9;;BC_HYD_PRESS;last;;Numeric;;2035;KPA;2035
ACC000028047;CEQ000439555;7411;24/09/2023 07:15:57;24/09/2023 10:26:12;-22.636242;-50.08314;559.6;222.4;;BC_HYD_PRESS;last;;Numeric;;5585;KPA;5585
ACC000028047;CEQ000439555;7411;24/09/2023 07:08:57;24/09/2023 10:26:12;-22.636724;-50.083485;559.21;34.1;;BC_HYD_PRESS;last;;Numeric;;7780;KPA;7780
ACC000028047;CEQ000439555;7411;24/09/2023 07:07:57;24/09/2023 10:26:12;-22.636917;-50.083744;559.01;182.6;;BC_HYD_PRESS;last;;Numeric;;435;KPA;435
ACC000028047;CEQ000439555;7411;24/09/2023 06:49:54;24/09/2023 10:26:12;-22.636738;-50.083633;554.59;214.9;;BC_HYD_PRESS;last;;Numeric;;6005;KPA;6005
ACC000028047;CEQ000439555;7411;24/09/2023 06:47:53;24/09/2023 10:26:12;-22.635246;-50.081547;555.95;255.5;;BC_HYD_PRESS;last;;Numeric;;7030;KPA;7030
ACC000028047;CEQ000439555;7411;24/09/2023 06:36:51;24/09/2023 10:26:12;-22.640274;-50.08464;553.66;12.8;;BC_HYD_PRESS;last;;Numeric;;1910;KPA;1910
ACC000028047;CEQ000439555;7411;24/09/2023 10:49:28;24/09/2023 14:06:01;-22.636173;-50.08246;579.41;48.9;;BC_HYD_PRESS;last;;Numeric;;7210;KPA;7210
